Id,Account_status,Salary,Internal_PD,External_PD,Loan_amount,Profit,Banking_with_bank,Months_on_book,External_utilisation,Internal_utilisation,Spend_percentage,Probability,Profit_score
17737,In_order,600000.0,0.4455930359085963,0.25,5200.0,-42.64,1,282.0,0.5311705607476636,0.559939,0.136969,0.3624127173123985,4.0
17747,In_order,497532.0,0.0092491838955386,0.4204545454545454,56600.0,246.46,1,43.0,0.1044733984799131,0.38386,0.133316,0.3441181593974125,4.0
17756,In_order,271752.0,0.0195865070729053,0.5340909090909091,16100.0,1126.41,1,42.0,0.3161841502519468,0.885525,0.104036,0.5761457213012037,6.0
17769,In_order,852000.0,0.1316648531011969,0.4488636363636363,33300.0,416.41,1,26.0,0.7675906735751296,0.825277,0.194963,0.4452189370451048,5.0
17789,In_order,192000.0,0.0038084874863982,0.2443181818181818,50100.0,226.92,1,228.0,0.2705030643513789,0.492826,0.088904,0.5071088257463402,6.0
17795,In_order,192108.0,0.6915125136017409,0.3806818181818182,20000.0,5333.99,1,27.0,0.7589235357917571,0.939083,0.236701,0.8452133464359538,9.0
17799,In_order,678000.0,0.1284004352557127,0.5965909090909091,14700.0,214.97,1,161.0,0.8012623274161735,0.793713,0.266509,0.5359992954670925,6.0
17802,In_order,336000.0,0.1131664853101196,0.3636363636363636,22300.0,763.2,1,44.0,0.4768211306765523,0.830876,0.352951,0.491682459141294,5.0
17826,In_order,1000008.0,0.0038084874863982,0.2727272727272727,133600.0,-89.36,1,240.0,0.9336600960859122,0.978801,0.028469,0.3709721479396193,4.0
17827,In_order,99708.0,0.030467899891186,0.2727272727272727,19100.0,10.17,1,93.0,0.5357734806629835,0.831216,0.12646,0.4144916422361583,5.0
17843,In_order,867132.0,0.1284004352557127,0.25,26200.0,-398.21,1,270.0,0.6905194204685573,0.873084,0.080289,0.4183368627958364,5.0
17849,In_order,120000.0,0.0195865070729053,0.5170454545454546,18900.0,274.62,1,47.0,0.7519092331768388,0.821376,0.045302,0.4563727946263893,5.0
17850,In_order,459504.0,0.162132752992383,0.3011363636363636,33550.0,-334.71,1,13.0,0.3913660990712074,0.767247,0.043819,0.4444370409130644,5.0
17852,In_order,66000.0,0.0859630032644178,0.4829545454545454,21800.0,-114.33,1,205.0,0.8399090909090909,0.576283,0.125484,0.3367785582428456,4.0
17855,In_order,556848.0,0.1458106637649618,0.2556818181818182,7400.0,-265.63,0,165.0,0.6046512407780014,0.871507,0.110345,0.4334087349003259,5.0
17857,In_order,284220.0,0.0418933623503808,0.7613636363636364,16000.0,-1628.42,1,15.0,0.1826771653543307,0.700928,0.841625,0.3277438675442881,4.0
17859,In_order,384000.0,0.0990206746463547,0.0568181818181818,35000.0,-897.61,1,56.0,0.9116954700183294,0.922518,0.387554,0.3951174469594197,4.0
17861,In_order,300000.0,0.0620239390642002,0.3693181818181818,20000.0,-92.11,1,78.0,0.1910841938046068,0.280767,0.006608,0.531650335475219,6.0
17868,In_order,146700.0,0.3411316648531012,0.5,53000.0,2078.13,1,51.0,0.7370216049382716,0.9631,0.042181,0.4888111025160411,5.0
17872,In_order,216000.0,0.1284004352557127,0.5284090909090909,11200.0,19.02,0,225.0,0.3501984126984127,0.272344,0.173399,0.6302901894057653,7.0
17880,In_order,396000.0,0.0620239390642002,0.1022727272727272,99600.0,1299.79,0,201.0,0.3849234577881069,0.698879,0.290136,0.4649328624994592,5.0
17887,In_order,144000.0,0.1022850924918389,0.4602272727272727,92000.0,1077.25,1,140.0,0.9688176352705412,0.751241,0.208734,0.4106844402345224,5.0
17889,In_order,133104.0,0.1316648531011969,0.1647727272727272,53500.0,283.23,0,46.0,0.9671706817016914,0.834914,0.00867,0.4442738489651825,5.0
17891,In_order,211800.0,0.5467899891186072,0.3465909090909091,69100.0,-27.46,1,103.0,0.6893121693121693,0.439468,0.003244,0.4270115216638345,5.0
